quinto,クイント,KU I N TO
﻿dot font,ドットフォント,DO tsu TO HU o N TO
﻿dot matrix,ドットマトリクス,DO tsu TO MA TO RI KU SU
﻿dot matrix printer,ドットマトリクスプリンタ,DO tsu TO MA TO RI KU SU PU RI N TA
﻿DoD,ドッド,DO tsu DO
﻿donation,ドネーション,DO NE - SI yo N
﻿domain name,ドメインネーム,DO ME I N NE - MU
﻿domain name server,ドメインネームサーバー,DO ME I N NE - MU SA - BA -
﻿dry copper,ドライカッパー,DO RA I KA tsu PA -
﻿driver stack,ドライバスタック,DO RA I BA SU TA tsu KU
﻿drive type,ドライブタイプ,DO RA I BU TA I PU
﻿drive bay,ドライブベイ,DO RA I BU BE I
﻿drive letter,ドライブレター,DO RA I BU RE TA -
﻿drag lock,ドラッグロック,DO RA tsu GU RO tsu KU
﻿draft mode,ドラフトモード,DO RA HU TO MO - DO
﻿drum scanner,ドラムスキャナ,DO RA MU SU KI ya NA
﻿drum printer,ドラムプリンタ,DO RA MU PU RI N TA
﻿drum plotter,ドラムプロッタ,DO RA MU PU RO tsu TA
﻿drawing software,ドローイングソフトウェア,DO RO - I N GU SO HU TO U e A
﻿drawing board,ドローイングボード,DO RO - I N GU BO - DO
﻿drop directory,ドロップディレクトリ,DO RO tsu PU DE i RE KU TO RI
﻿drop folder,ドロップフォルダ,DO RO tsu PU HU o RU DA
﻿nastygram,ナスティグラム,NA SU TE i GU RA MU
﻿Nashville,ナッシュビル,NA tsu SI yu BI RU
﻿NumLock,ナムロック,NA MU RO tsu KU
﻿narrowband,ナローバンド,NA RO - BA N DO
﻿number display,ナンバーディスプレイ,NA N BA - DE i SU PU RE I
﻿mnemonic,ニーモニック,NI - MO NI tsu KU
﻿Niftyserve,ニフティサーブ,NI HU TE i SA - BU
﻿new generation,ニュージェネレーション,NI yu - ZI e NE RE - SI yo N
﻿NewsWatcher,ニュースウォッチャー,NI yu - SU U o tsu TI ya -
﻿newsfroup,ニュースフループ,NI yu - SU HU RU - PU
﻿newsreader,ニュースリーダ,NI yu - SU RI - DA
﻿newsletter,ニューズレター,NI yu - ZU RE TA -
﻿new version,ニューバージョン,NI yu - BA - ZI yo N
﻿newbie,ニュービー,NI yu - BI -
﻿Newbridge,ニューブリッジ,NI yu - BU RI tsu ZI
﻿nucleus,ニュクリアス,NI yu KU RI A SU
﻿NuBus,ヌーバス,NU - BA SU
﻿null byte,ヌルバイト,NU RU BA I TO
﻿null field,ヌルフィールド,NU RU HU i - RU DO
﻿null pointer,ヌルポインター,NU RU PO I N TA -
﻿nagware,ネイグウェア,NE I GU U e A
﻿native compiler,ネイティブコンパイラ,NE I TE i BU KO N PA I RA
﻿native format,ネイティブフォーマット,NE I TE i BU HU o - MA tsu TO
﻿native mode,ネイティブモード,NE I TE i BU MO - DO
﻿NexGen,ネクスジェン,NE KU SU ZI e N
﻿NeXTSTEP,ネクストステップ,NE KU SU TO SU TE tsu PU
﻿negate,ネゲート,NE GE - TO
﻿NetWare,ネットウェア,NE tsu TO U e A
﻿net surfer,ネットサーファ,NE tsu TO SA - HU a
﻿Netscape,ネットスケープ,NE tsu TO SU KE - PU
﻿net news,ネットニュース,NE tsu TO NI yu - SU
﻿NetBIOS,ネットバイオス,NE tsu TO BA I O SU
﻿NetBSD,ネットビーエスディー,NE tsu TO BI - E SU DE i -
﻿NetBEUI,ネットビューイ,NE tsu TO BI yu - I
﻿Netfind,ネットファインド,NE tsu TO HU a I N DO
﻿NetPhone,ネットフォン,NE tsu TO HU o N
﻿net user,ネットユーザ,NE tsu TO YU - ZA
﻿network architecture,ネットワークアーキテクチャ,NE tsu TO WA - KU A - KI TE KU TI ya
﻿network address,ネットワークアドレス,NE tsu TO WA - KU A DO RE SU
﻿network element,ネットワークエレメント,NE tsu TO WA - KU E RE ME N TO
﻿network operating system,ネットワークオペレーティングシステム,NE tsu TO WA - KU O PE RE - TE i N GU SI SU TE MU
﻿network computer,ネットワークコンピュータ,NE tsu TO WA - KU KO N PI yu - TA
﻿network server mode,ネットワークサーバモード,NE tsu TO WA - KU SA - BA MO - DO
﻿network drive,ネットワークドライブ,NE tsu TO WA - KU DO RA I BU
﻿network byte order,ネットワークバイトオーダー,NE tsu TO WA - KU BA I TO O - DA -
﻿network packet,ネットワークパケット,NE tsu TO WA - KU PA KE tsu TO
﻿Network File System,ネットワークファイルシステム,NE tsu TO WA - KU HU a I RU SI SU TE MU
﻿network printer,ネットワークプリンタ,NE tsu TO WA - KU PU RI N TA
﻿network manager,ネットワークマネージャ,NE tsu TO WA - KU MA NE - ZI ya
﻿no carrier,ノーキャリア,NO - KI ya RI A
﻿Northwood,ノースウッド,NO - SU U tsu DO
﻿Norton,ノートン,NO - TO N
﻿nodename,ノードネーム,NO - DO NE - MU
﻿Neuman architecture,ノイマンアーキテクチャ,NO I MA N A - KI TE KU TI ya
﻿Knowbot,ノウボット,NO U BO tsu TO
﻿not equal,ノットイコール,NO tsu TO I KO - RU
﻿Novell,ノヴェル,NO VU e RU
﻿heartbeat,ハートビート,HA - TO BI - TO
﻿heartbeat packet,ハートビートパケット,HA - TO BI - TO PA KE tsu TO
﻿hard sector,ハードセクター,HA - DO SE KU TA -
﻿hard patch,ハードパッチ,HA - DO PA tsu TI
﻿hypermedia,ハーパーメディア,HA - PA - ME DE i A
﻿halfline,ハーフライン,HA - HU RA I N
﻿high cost,ハイコスト,HA I KO SU TO
﻿high contrast,ハイコントラスト,HA I KO N TO RA SU TO
﻿High Sierra format,ハイシエラフォーマット,HA I SI E RA HU o - MA tsu TO
﻿hijacker,ハイジャッカー,HA I ZI ya tsu KA -
﻿HiText,ハイテキスト,HA I TE KI SU TO
﻿HyTelnet,ハイテルネット,HA I TE RU NE tsu TO
﻿hydra,ハイドラ,HA I DO RA
﻿HyperWAIS,ハイパーウェイズ,HA I PA - U e I ZU
﻿HyperEdit,ハイパーエディット,HA I PA - E DE i tsu TO
﻿hypercard,ハイパーカード,HA I PA - KA - DO
﻿hypermedia,ハイパーメディア,HA I PA - ME DE i A
﻿high pass filter,ハイパスフィルタ,HA I PA SU HU i RU TA
﻿high performance,ハイパフォーマンス,HA I PA HU o - MA N SU
﻿hybrid disk,ハイブリッドディスク,HA I BU RI tsu DO DE i SU KU
﻿hash table,ハッシュテーブル,HA tsu SI yu TE - BU RU
﻿hatching,ハッチング,HA tsu TI N GU
﻿hub ring,ハブリング,HA BU RI N GU
﻿Hamming code,ハミングコード,HA MI N GU KO - DO
﻿Hamming code check,ハミングコードチェック,HA MI N GU KO - DO TI e tsu KU
﻿handy scanner,ハンディスキャナ,HA N DE i SU KI ya NA
﻿handiphone,ハンディフォン,HA N DE i HU o N
﻿handoff,ハンドオフ,HA N DO O HU
﻿handshaking,ハンドシェーキング,HA N DO SI e - KI N GU
﻿handshake,ハンドシェイク,HA N DO SI e I KU
﻿handset,ハンドセット,HA N DO SE tsu TO
﻿hand held,ハンドヘルド,HA N DO HE RU DO
﻿ViRGE,バージ,BA - ZI
﻿burst size,バーストサイズ,BA - SU TO SA I ZU
﻿burst traffic,バーストトラヒック,BA - SU TO TO RA HI tsu KU
﻿burst page,バーストページ,BA - SU TO PE - ZI
﻿burst mode,バーストモード,BA - SU TO MO - DO
﻿virtual connection,バーチャルコネクション,BA - TI ya RU KO NE KU SI yo N
﻿virtual path,バーチャルパス,BA - TI ya RU PA SU
﻿virtual machine,バーチャルマシン,BA - TI ya RU MA SI N
﻿virtual mall,バーチャルモール,BA - TI ya RU MO - RU
﻿vertex shader,バーテックスシェーダ,BA - TE tsu KU SU SI e - DA
﻿barfic,バーフィック,BA - HU i tsu KU
﻿biocomputer,バイオコンピュータ,BA I O KO N PI yu - TA
﻿bisync,バイシンク,BA I SI N KU
﻿byte order,バイトオーダー,BA I TO O - DA -
﻿binary format,バイナリフォーマット,BA I NA RI HU o - MA tsu TO
﻿bipolar transistor,バイポーラトランジスタ,BA I PO - RA TO RA N ZI SU TA
﻿bilinear filtering,バイリニアフィルタリング,BA I RI NI A HU i RU TA RI N GU
﻿bounce,バウンス,BA U N SU
﻿bounced mail,バウンストメイル,BA U N SU TO ME I RU
﻿bound trap,バウンドトラップ,BA U N DO TO RA tsu PU
﻿bus error,バスエラー,BA SU E RA -
﻿bus clock,バスクロック,BA SU KU RO tsu KU
﻿bus driver,バスドライバ,BA SU DO RA I BA
﻿bus network,バスネットワーク,BA SU NE tsu TO WA - KU
﻿bus mouse,バスマウス,BA SU MA U SU
﻿bus master,バスマスタ,BA SU MA SU TA
﻿bus master,バスマスター,BA SU MA SU TA -
﻿backing store,バッキングストア,BA tsu KI N GU SU TO A
﻿backup snapshot,バックアップスナップショット,BA tsu KU A tsu PU SU NA tsu PU SI yo tsu TO
﻿backup diskette,バックアップディスケット,BA tsu KU A tsu PU DE i SU KE tsu TO
﻿backup battery,バックアップバッテリ,BA tsu KU A tsu PU BA tsu TE RI
﻿backup file,バックアップファイル,BA tsu KU A tsu PU HU a I RU
﻿backup route,バックアップルート,BA tsu KU A tsu PU RU - TO
﻿background job,バックグラウンドジョブ,BA tsu KU GU RA U N DO ZI yo BU
﻿back door,バックドア,BA tsu KU DO A
﻿back buffer,バックバッファ,BA tsu KU BA tsu HU a
﻿backplane,バックプレーン,BA tsu KU PU RE - N
﻿backbone network,バックボーンネットワーク,BA tsu KU BO - N NE tsu TO WA - KU
﻿backlight time out,バックライトタイムアウト,BA tsu KU RA I TO TA I MU A U TO
﻿batch job,バッチジョブ,BA tsu TI ZI yo BU
﻿batch file,バッチファイル,BA tsu TI HU a I RU
﻿battery,バッテリ,BA tsu TE RI
﻿battery gauge,バッテリゲージ,BA tsu TE RI GE - ZI
﻿battery pack,バッテリパック,BA tsu TE RI PA tsu KU
﻿buffer overflow,バッファオーバーフロー,BA tsu HU a O - BA - HU RO -
﻿buffer pool,バッファプール,BA tsu HU a PU - RU
﻿Banyan,バニアン,BA NI A N
﻿valuator,バリュエータ,BA RI yu E - TA
﻿balun,バルアン,BA RU A N
﻿Vantive,バンティブ,BA N TE i BU
﻿band printer,バンドプリンタ,BA N DO PU RI N TA
﻿parser,パーサ,PA - SA
﻿persistence,パーシステンス,PA - SI SU TE N SU
﻿percentile,パーセンタイル,PA - SE N TA I RU
﻿palm top,パームトップ,PA - MU TO tsu PU
﻿palm rest,パームレスト,PA - MU RE SU TO
﻿pica,パイカ,PA I KA
﻿pilot test,パイロットテスト,PA I RO tsu TO TE SU TO
﻿pilot program,パイロットプログラム,PA I RO tsu TO PU RO GU RA MU
﻿pilot project,パイロットプロジェクト,PA I RO tsu TO PU RO ZI e KU TO
﻿packet analyzer,パケットアナライザ,PA KE tsu TO A NA RA I ZA
﻿packet type,パケットタイプ,PA KE tsu TO TA I PU
﻿packet driver,パケットドライバ,PA KE tsu TO DO RA I BA
﻿packet buffer,パケットバッファ,PA KE tsu TO BA tsu HU a
﻿path overhead,パスオーバーヘッド,PA SU O - BA - HE tsu DO
﻿passcode,パスコード,PA SU KO - DO
﻿pass phrase,パスフレーズ,PA SU HU RE - ZU
﻿path prefix,パスプレフィックス,PA SU PU RE HU i tsu KU SU
﻿password entry,パスワードエントリ,PA SU WA - DO E N TO RI
﻿password file,パスワードファイル,PA SU WA - DO HU a I RU
﻿pattern match,パタンマッチ,PA TA N MA tsu TI
﻿pattern matching,パタンマッチング,PA TA N MA tsu TI N GU
﻿packaged software,パッケージソフトウェア,PA tsu KE - ZI SO HU TO U e A
﻿passive client,パッシブクライアント,PA tsu SI BU KU RA I A N TO
﻿passive matrix display,パッシブマトリクスディスプレイ,PA tsu SI BU MA TO RI KU SU DE i SU PU RE I
﻿patch file,パッチファイル,PA tsu TI HU a I RU
﻿patch module,パッチモジュール,PA tsu TI MO ZI yu - RU
﻿panning,パニング,PA NI N GU
﻿Pubzine,パブジーン,PA BU ZI - N
﻿public key,パブリックキー,PA BU RI tsu KU KI -
﻿public folder,パブリックフォルダ,PA BU RI tsu KU HU o RU DA
﻿publisher,パブリッシャ,PA BU RI tsu SI ya
﻿publisher,パブリッシャー,PA BU RI tsu SI ya -
﻿pulse dialing,パルスダイヤリング,PA RU SU DA I YA RI N GU
﻿pulse dial,パルスダイアル,PA RU SU DA I A RU
﻿PowerSite,パワーサイト,PA WA - SA I TO
﻿power supply,パワーサプライ,PA WA - SA PU RA I
﻿PowerJ,パワージェイ,PA WA - ZI e I
﻿PowerSoft,パワーソフト,PA WA - SO HU TO
﻿PowerDesigner,パワーデザイナー,PA WA - DE ZA I NA -
﻿PowerBuilder,パワービルダー,PA WA - BI RU DA -
﻿power user,パワーユーザー,PA WA - YU - ZA -
﻿panning,パンニング,PA N NI N GU
﻿heat sink,ヒートシンク,HI - TO SI N KU
﻿heat spreader,ヒートスプレッダ,HI - TO SU PU RE tsu DA
﻿human interface,ヒューマンインターフェース,HI yu - MA N I N TA - HU e - SU
﻿BNC connector,ビーエヌシーコネクタ,BI - E NU SI - KO NE KU TA
﻿Btrieve,ビートリーブ,BI - TO RI - BU
﻿bps,ビーピーエス,BI - PI - E SU
﻿beep code,ビープコード,BI - PU KO - DO
﻿B plus,ビープラス,BI - PU RA SU
﻿BeOS,ビオーエス,BI O - E SU
﻿bigot,ビゴット,BI GO tsu TO
﻿business traffic,ビジネストラヒック,BI ZI NE SU TO RA HI tsu KU
﻿business user,ビジネスユーザ,BI ZI NE SU YU - ZA
﻿business logic,ビジネスロジック,BI ZI NE SU RO ZI tsu KU
﻿visual shell,ビジュアルシェル,BI ZI yu A RU SI e RU
﻿BizTech,ビズテック,BI ZU TE tsu KU
﻿Big Blue,ビッグブルー,BI tsu GU BU RU -
﻿bitstream,ビットストリーム,BI tsu TO SU TO RI - MU
﻿bit parity,ビットパリティ,BI tsu TO PA RI TE i
﻿bit plane,ビットプレーン,BI tsu TO PU RE - N
﻿bit mask,ビットマスク,BI tsu TO MA SU KU
﻿bit rate,ビットレート,BI tsu TO RE - TO
﻿bit rate,ビットレイト,BI tsu TO RE I TO
﻿video overlay,ビデオオーバーレイ,BI DE O O - BA - RE I
﻿video card,ビデオカード,BI DE O KA - DO
﻿video capture,ビデオキャプチャ,BI DE O KI ya PU TI ya
﻿video capture board,ビデオキャプチャーボード,BI DE O KI ya PU TI ya - BO - DO
﻿video server,ビデオサーバ,BI DE O SA - BA
﻿video server,ビデオサーバー,BI DE O SA - BA -
﻿VideoCD,ビデオシーディー,BI DE O SI - DE i -
﻿video buffer,ビデオバッファ,BI DE O BA tsu HU a
﻿video printer,ビデオプリンタ,BI DE O PU RI N TA
﻿video head,ビデオヘッド,BI DE O HE tsu DO
﻿video board,ビデオボード,BI DE O BO - DO
﻿viewer,ビューア,BI yu - A
﻿view window,ビューウィンドウ,BI yu - U i N DO U
﻿viewport,ビューポート,BI yu - PO - TO
﻿viewer,ビューワ,BI yu - WA
﻿build,ビルド,BI RU DO
﻿PnP,ピーアンピー,PI - A N PI -
﻿peak traffic,ピークトラヒック,PI - KU TO RA HI tsu KU
﻿peak traffic condition,ピークトラフィックコンディション,PI - KU TO RA HU i tsu KU KO N DE i SI yo N
﻿peak rate,ピークレート,PI - KU RE - TO
﻿peer,ピア,PI A
﻿picking list,ピッキングリスト,PI tsu KI N GU RI SU TO
﻿pickup directory,ピックアップディレクトリ,PI tsu KU A tsu PU DE i RE KU TO RI
﻿pixmap,ピックスマップ,PI tsu KU SU MA tsu PU
﻿pick filter,ピックフィルタ,PI tsu KU HU i RU TA
﻿pitch shifter,ピッチシフター,PI tsu TI SI HU TA -
﻿pure text,ピュアテキスト,PI yu A TE KI SU TO
﻿ping,ピング,PI N GU
﻿pin jack,ピンジャック,PI N ZI ya tsu KU
﻿pin feed,ピンフィード,PI N HU i - DO
﻿whois,フーイズ,HU - I ZU
﻿fast Ethernet,ファーストイーサネット,HU a - SU TO I - SA NE tsu TO
﻿FireWire,ファイアワイヤ,HU a I A WA I YA
﻿final version,ファイナルバージョン,HU a I NA RU BA - ZI yo N
﻿fiber optics,ファイバーオプティクス,HU a I BA - O PU TE i KU SU
﻿Fibre Channel,ファイバーチャネル,HU a I BA - TI ya NE RU
﻿fiber optics,ファイバオプティックス,HU a I BA O PU TE i tsu KU SU
﻿Fibre Channel,ファイバチャネル,HU a I BA TI ya NE RU
﻿filer,ファイラ,HU a I RA
﻿filer,ファイラー,HU a I RA -
﻿file access,ファイルアクセス,HU a I RU A KU SE SU
﻿file access mode,ファイルアクセスモード,HU a I RU A KU SE SU MO - DO
﻿file allocation table,ファイルアロケーションテーブル,HU a I RU A RO KE - SI yo N TE - BU RU
﻿file offset,ファイルオフセット,HU a I RU O HU SE tsu TO
﻿file cache,ファイルキャッシュ,HU a I RU KI ya tsu SI yu
﻿file group class,ファイルグループクラス,HU a I RU GU RU - PU KU RA SU
﻿file converter,ファイルコンバータ,HU a I RU KO N BA - TA
﻿file server,ファイルサーバ,HU a I RU SA - BA
﻿file server,ファイルサーバー,HU a I RU SA - BA -
﻿file size,ファイルサイズ,HU a I RU SA I ZU
﻿file sharing,ファイルシェアリング,HU a I RU SI e A RI N GU
﻿file set,ファイルセット,HU a I RU SE tsu TO
﻿file test,ファイルテスト,HU a I RU TE SU TO
﻿file backup,ファイルバックアップ,HU a I RU BA tsu KU A tsu PU
﻿file permission,ファイルパーミッション,HU a I RU PA - MI tsu SI yo N
﻿file fragmentation,ファイルフラグメンテーション,HU a I RU HU RA GU ME N TE - SI yo N
﻿file manager,ファイルマネージャ,HU a I RU MA NE - ZI ya
﻿file mode,ファイルモード,HU a I RU MO - DO
﻿file model,ファイルモデル,HU a I RU MO DE RU
﻿foundry,ファウンダリ,HU a U N DA RI
﻿foundry,ファウンドリ,HU a U N DO RI
﻿fact store,ファクトストア,HU a KU TO SU TO A
﻿fact dimension,ファクトディメンション,HU a KU TO DE i ME N SI yo N
﻿factory automation,ファクトリオートメーション,HU a KU TO RI O - TO ME - SI yo N
﻿fuzzy computer,ファジーコンピュータ,HU a ZI - KO N PI yu - TA
﻿FastSCSI,ファストスカジー,HU a SU TO SU KA ZI -
﻿family computer,ファミリーコンピュータ,HU a MI RI - KO N PI yu - TA
﻿function call,ファンクションコール,HU a N KU SI yo N KO - RU
﻿feature group,フィーチャーグループ,HU i - TI ya - GU RU - PU
﻿feature connector,フィーチャコネクタ,HU i - TI ya KO NE KU TA
﻿field upgrade,フィールドアップグレード,HU i - RU DO A tsu PU GU RE - DO
﻿film scanner,フィルムスキャナ,HU i RU MU SU KI ya NA
﻿finger,フィンガ,HU i N GA
﻿face to face,フェースツーフェース,HU e - SU TU - HU e - SU
﻿failsoft,フェールソフト,HU e - RU SO HU TO
﻿face mark,フェイスマーク,HU e I SU MA - KU
﻿fetch cycle,フェッチサイクル,HU e tsu TI SA I KU RU
﻿ferrite core,フェライトコア,HU e RA I TO KO A
﻿formatting,フォーマティング,HU o - MA TE i N GU
﻿form stacker,フォームスタッカー,HU o - MU SU TA tsu KA -
﻿form factor,フォームファクタ,HU o - MU HU a KU TA
﻿fall back,フォールバック,HU o - RU BA tsu KU
﻿PhotoCD,フォトシーディー,HU o TO SI - DE i -
﻿photo stamp,フォトスタンプ,HU o TO SU TA N PU
﻿photo brush,フォトブラシ,HU o TO BU RA SI
﻿follow pan,フォローパン,HU o RO - PA N
﻿Phong shading,フォンシェーディング,HU o N SI e - DE i N GU
﻿font editor,フォントエディタ,HU o N TO E DE i TA
﻿font size,フォントサイズ,HU o N TO SA I ZU
﻿font file,フォントファイル,HU o N TO HU a I RU
﻿font family,フォントファミリ,HU o N TO HU a MI RI
﻿font program,フォントプログラム,HU o N TO PU RO GU RA MU
﻿font metric,フォントメトリック,HU o N TO ME TO RI tsu KU
﻿footer,フッタ,HU tsu TA
﻿footprint,フットプリント,HU tsu TO PU RI N TO
﻿floppy disk,フッロピーディスク,HU tsu RO PI - DE i SU KU
﻿fly out,フライアウト,HU RA I A U TO
﻿fractional,フラクショナル,HU RA KU SI yo NA RU
﻿flashing,フラッシング,HU RA tsu SI N GU
﻿flooding,フラッディング,HU RA tsu DE i N GU
﻿flat cable,フラットケーブル,HU RA tsu TO KE - BU RU
﻿flat shading,フラットシェーディング,HU RA tsu TO SI e - DE i N GU
﻿flatbed scanner,フラットベットスキャナ,HU RA tsu TO BE tsu TO SU KI ya NA
﻿flatbed scanner,フラットベッドスキャナ,HU RA tsu TO BE tsu DO SU KI ya NA
﻿flat list,フラットリスト,HU RA tsu TO RI SU TO
﻿FreeML,フリーエムエル,HU RI - E MU E RU
﻿FreeBSD,フリービーエスディー,HU RI - BI - E SU DE i -
﻿friction feed,フリクションフィード,HU RI KU SI yo N HU i - DO
﻿flicker,フリッカ,HU RI tsu KA
﻿flicker free,フリッカフリー,HU RI tsu KA HU RI -
﻿flicks set,フリックセット,HU RI tsu KU SE tsu TO
﻿full dump,フルダンプ,HU RU DA N PU
﻿full version,フルバージョン,HU RU BA - ZI yo N
﻿full backup,フルバックアップ,HU RU BA tsu KU A tsu PU
﻿full motion,フルモーション,HU RU MO - SI yo N
﻿full motion video,フルモーションビデオ,HU RU MO - SI yo N BI DE O
﻿framing,フレーミング,HU RE - MI N GU
﻿frame rate,フレームレート,HU RE - MU RE - TO
﻿framelock,フレームロック,HU RE - MU RO tsu KU
﻿flow control,フローコントロール,HU RO - KO N TO RO - RU
﻿floppy disk controller,フロッピーディスクコントローラ,HU RO tsu PI - DE i SU KU KO N TO RO - RA
﻿floppy disk drive,フロッピーディスクドライブ,HU RO tsu PI - DE i SU KU DO RA I BU
﻿floppy drive,フロッピードライブ,HU RO tsu PI - DO RA I BU
﻿front buffer,フロントバッファ,HU RO N TO BA tsu HU a
﻿bootstrap,ブートストラップ,BU - TO SU TO RA tsu PU
﻿bootstrap program,ブートストラッププログラム,BU - TO SU TO RA tsu PU PU RO GU RA MU
﻿boot sector,ブートセクター,BU - TO SE KU TA -
﻿boot disk,ブートディスク,BU - TO DE i SU KU
﻿boot drive,ブートドライブ,BU - TO DO RA I BU
﻿boot file,ブートファイル,BU - TO HU a I RU
﻿boot record,ブートレコード,BU - TO RE KO - DO
﻿VooDoo,ブードゥー,BU - DO u -
﻿browser crasher,ブラウザクラッシャー,BU RA U ZA KU RA tsu SI ya -
﻿black burst,ブラックバースト,BU RA tsu KU BA - SU TO
﻿blanking,ブランキング,BU RA N KI N GU
﻿blank disk,ブランクディスク,BU RA N KU DE i SU KU
﻿briefcase computer,ブリーフケースコンピュータ,BU RI - HU KE - SU KO N PI yu - TA
﻿bridging,ブリッジング,BU RI tsu ZI N GU
﻿brouter,ブルータ,BU RU - TA
﻿blade server,ブレードサーバ,BU RE - DO SA - BA
﻿breadboard,ブレッドボード,BU RE tsu DO BO - DO
﻿broadcast address,ブロードキャストアドレス,BU RO - DO KI ya SU TO A DO RE SU
﻿broadcast storm,ブロードキャストストーム,BU RO - DO KI ya SU TO SU TO - MU
﻿broadband router,ブロードバンドルータ,BU RO - DO BA N DO RU - TA
﻿block size,ブロックサイズ,BU RO tsu KU SA I ZU
﻿block check,ブロックチェック,BU RO tsu KU TI e tsu KU
﻿block device,ブロックデバイス,BU RO tsu KU DE BA I SU
﻿block buffering,ブロックバッファリング,BU RO tsu KU BA tsu HU a RI N GU
﻿priority queue system,プライオリティキューシステム,PU RA I O RI TE i KI yu - SI SU TE MU
﻿private address,プライベートアドレス,PU RA I BE - TO A DO RE SU
﻿plasma panel,プラズマパネル,PU RA ZU MA PA NE RU
﻿platter,プラッタ,PU RA tsu TA
﻿platen,プラテン,PU RA TE N
﻿preamble,プリアンブル,PU RI A N BU RU
﻿preinstall,プリインストール,PU RI I N SU TO - RU
﻿preinstalled software,プリインストールソフトウェア,PU RI I N SU TO - RU SO HU TO U e A
﻿preemptive,プリエンプティブ,PU RI E N PU TE i BU
﻿precharge,プリチャージ,PU RI TI ya - ZI
﻿prefetch,プリフェッチ,PU RI HU e tsu TI
﻿printer window,プリンタウィンドウ,PU RI N TA U i N DO U
﻿printer cable,プリンタケーブル,PU RI N TA KE - BU RU
﻿printer session,プリンタセッション,PU RI N TA SE tsu SI yo N
﻿printer driver,プリンタドライバ,PU RI N TA DO RA I BA
﻿printer buffer,プリンタバッファ,PU RI N TA BA tsu HU a
﻿print queue,プリントキュー,PU RI N TO KI yu -
﻿print server,プリントサーバー,PU RI N TO SA - BA -
﻿print spooler,プリントスプーラ,PU RI N TO SU PU - RA
﻿print through,プリントスルー,PU RI N TO SU RU -
﻿preinstall,プレインストール,PU RE I N SU TO - RU
﻿preshutdown,プレシャットダウン,PU RE SI ya tsu TO DA U N
﻿PReP,プレップ,PU RE tsu PU
﻿prefix,プレフィックス,PU RE HU i tsu KU SU
﻿ProActive,プロアクティブ,PU RO A KU TE i BU
﻿project group,プロジェクトグループ,PU RO ZI e KU TO GU RU - PU
﻿project type,プロジェクトタイプ,PU RO ZI e KU TO TA I PU
﻿project tasks,プロジェクトタスク,PU RO ZI e KU TO TA SU KU
﻿project designer,プロジェクトデザイナ,PU RO ZI e KU TO DE ZA I NA
﻿project file,プロジェクトファイル,PU RO ZI e KU TO HU a I RU
﻿plotter font,プロッタフォント,PU RO tsu TA HU o N TO
﻿plotting head,プロッティングヘッド,PU RO tsu TE i N GU HE tsu DO
﻿plot area,プロットエリア,PU RO tsu TO E RI A
﻿Prodigy,プロディジー,PU RO DE i ZI -
﻿profile,プロファイル,PU RO HU a I RU
﻿profile editor,プロファイルエディタ,PU RO HU a I RU E DE i TA
﻿professional,プロフェショナル,PU RO HU e SI yo NA RU
﻿Hayes,ヘイズ,HE I ZU
﻿header file,ヘッダファイル,HE tsu DA HU a I RU
﻿headend,ヘッドエンド,HE tsu DO E N DO
﻿head crash,ヘッドクラッシュ,HE tsu DO KU RA tsu SI yu
﻿head,ヘッドディスクアセンブリ,HE tsu DO DE i SU KU A SE N BU RI
﻿head mounted display,ヘッドマウントディスプレイ,HE tsu DO MA U N TO DE i SU PU RE I
﻿headless,ヘッドレス,HE tsu DO RE SU
﻿headless server,ヘッドレスサーバ,HE tsu DO RE SU SA - BA
﻿heavy user,ヘビーユーザー,HE BI - YU - ZA -
﻿helper application,ヘルパーアプリケーション,HE RU PA - A PU RI KE - SI yo N
﻿helper program,ヘルパプログラム,HE RU PA PU RO GU RA MU
﻿help desk,ヘルプデスク,HE RU PU DE SU KU
﻿help file,ヘルプファイル,HE RU PU HU a I RU
﻿help message,ヘルプメッセージ,HE RU PU ME tsu SE - ZI
﻿help menu,ヘルプメニュー,HE RU PU ME NI yu -
﻿basic disk,ベーシックディスク,BE - SI tsu KU DE i SU KU
﻿base address,ベースアドレス,BE - SU A DO RE SU
﻿beta version,ベータバージョン,BE - TA BA - ZI yo N
﻿vaporware,ベーパーウェア,BE - PA - U e A
﻿bearer,ベアラ,BE A RA
﻿vector graphics,ベクターグラフィックス,BE KU TA - GU RA HU i tsu KU SU
﻿vector font,ベクターフォント,BE KU TA - HU o N TO
﻿vector generator,ベクトルジェネレータ,BE KU TO RU ZI e NE RE - TA
﻿vector data,ベクトルデータ,BE KU TO RU DE - TA
﻿vector font,ベクトルフォント,BE KU TO RU HU o N TO
﻿vector label,ベクトルラベル,BE KU TO RU RA BE RU
﻿Bezier,ベジェ,BE ZI e
﻿best effort,ベストエフォート,BE SU TO E HU o - TO
﻿bezel,ベゼル,BE ZE RU
﻿Verisign,ベリサイン,BE RI SA I N
﻿Bernoulli,ベルヌーイ,BE RU NU - I
﻿page data set,ページデータセット,PE - ZI DE - TA SE tsu TO
﻿page view,ページビュー,PE - ZI BI yu -
﻿page file,ページファイル,PE - ZI HU a I RU
﻿page fault,ページフォルト,PE - ZI HU o RU TO
﻿page frame,ページフレーム,PE - ZI HU RE - MU
﻿page printer,ページプリンタ,PE - ZI PU RI N TA
﻿PageMill,ページミル,PE - ZI MI RU
